,tweet_id,president,stance,naming_form
0,889643559145656324,Vladimir Putin,-1,FN
1,894665741961658368,Vladimir Putin,1,TLN
2,889791871186345984,Vladimir Putin,-1,LN
3,890600215954247681,Vladimir Putin,-1,TLN
4,894617166498156545,Vladimir Putin,-1,LN
5,890994801847537664,Vladimir Putin,0,FNLN
6,897258544210165760,Vladimir Putin,-1,LN
7,895035339810590720,Vladimir Putin,-1,TLN
8,890398990642159617,Vladimir Putin,-1,LN
9,895100509014679553,Vladimir Putin,-1,LN
10,893557160625397762,Vladimir Putin,1,FNLN
11,896787550752395268,Vladimir Putin,1,FN
12,881951322769022976,Vladimir Putin,-1,TLN
13,890086541233577984,Vladimir Putin,-1,TLN
14,885012258929225729,Vladimir Putin,-1,FN
15,881998762763108353,Vladimir Putin,0,LN
16,898785479621042176,Vladimir Putin,-1,FNLN
17,888783762347130885,Vladimir Putin,-1,FNLN
18,878393970417684480,Vladimir Putin,0,FNLN
19,899023132727459840,Vladimir Putin,1,TLN
20,894375026769539072,Vladimir Putin,-1,LN
21,894391141575118850,Vladimir Putin,0,LN
22,879826629953900545,Vladimir Putin,-1,LN
23,882020259926069249,Vladimir Putin,1,TFNLN
24,879693273543135233,Vladimir Putin,0,LN
25,879786117465350144,Vladimir Putin,0,LN
26,898660261376258048,Vladimir Putin,-1,LN
27,894118064828145664,Vladimir Putin,-1,TLN
28,890646291327447040,Vladimir Putin,0,TFNLN
29,890443047904751616,Vladimir Putin,-1,LN
30,894376575004811264,Vladimir Putin,-1,LN
31,887308929344167936,Vladimir Putin,-1,LN
32,890775922026196992,Vladimir Putin,-1,LN
33,893302299065536517,Vladimir Putin,-1,LN
34,882038001320116224,Vladimir Putin,0,TFNLN
35,894700655939657729,Vladimir Putin,-1,LN
36,890728301857263616,Vladimir Putin,-1,LN
37,890729779556646913,Vladimir Putin,-1,LN
38,880570520089108480,Vladimir Putin,-1,FN
39,878339791481298948,Vladimir Putin,-1,FNLN
40,894634359172550658,Vladimir Putin,1,TFNLN
41,890509906025095169,Vladimir Putin,0,LN
42,889301037298962432,Vladimir Putin,-1,LN
43,886056040307077122,Vladimir Putin,1,FNLN
44,888424663281532929,Vladimir Putin,-1,FNLN
45,889445179844956161,Vladimir Putin,-1,FN
46,894028456220119041,Vladimir Putin,1,FN
47,898261359690825728,Vladimir Putin,1,FNLN
48,890765429307846656,Vladimir Putin,-1,LN
49,897863308916609024,Vladimir Putin,1,FNLN
50,897343662719467521,Vladimir Putin,-1,TLN
51,880085668885536768,Vladimir Putin,-1,FNLN
52,878698310806024192,Vladimir Putin,1,TFNLN
53,897505477596196864,Vladimir Putin,-1,LN
54,885902268549259264,Vladimir Putin,-1,TLN
